着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,厩舎,馬体重
1,4,8,スナイプフレイバー,牡4,56.0,矢野貴之,1:13.3,,1,1.4,37.8,大井坂井英光,510(+3)
2,2,3,ミモレフレイバー,牝3,53.0,安藤洋一,1:13.5,1.1/4,5,12.3,37.7,大井福永敏,426(+1)
3,2,4,フォルツァ,牝5,54.0,千田洋,1:13.5,アタマ,9,55.2,38.0,大井井上弘之,416(-1)
4,1,1,コーミズアムール,牝5,54.0,笹川翼,1:13.6,1/2,2,7.8,37.0,大井米田英世,436(+1)
5,4,7,ヤマノウォーリア,牡4,56.0,今野忠成,1:13.7,クビ,11,80.7,37.4,大井佐々木洋,492(-3)
6,1,2,ベルマーレミノル,牝5,54.0,岡村健司,1:13.8,1/2,3,9.6,38.1,大井佐宗応和,511(+3)
7,3,6,フォックススリープ,セ6,56.0,澤田龍哉,1:14.4,3,13,234.6,37.5,大井蛯名雄太,486(+4)
8,3,5,シロイトイキ,牝4,54.0,本田正重,1:14.5,3/4,4,10.8,38.6,大井森下淳平,482(+3)
9,5,10,アウトパフォーム,セ5,53.0,▲佐野遥久,1:14.6,クビ,14,245.0,38.0,大井月岡健二,436(-1)
10,7,13,ドレンチェリー,牝5,54.0,吉井章,1:14.8,1,6,23.3,38.5,大井立花伸,495(+16)
11,6,11,ハナノウタ,牝4,54.0,福原杏,1:15.2,2,10,69.7,38.6,大井阪本一栄,451(-9)
12,7,14,ライヴクラッカー,牡6,56.0,森泰斗,1:15.5,1.1/2,7,30.2,38.6,大井赤嶺本浩,487(-5)
13,6,12,タイシロンブレード,牡5,53.0,▲所蛍,1:15.6,クビ,15,249.6,39.0,大井月岡健二,475(-3)
14,5,9,ノンロム,牡5,56.0,菅原涼太,1:15.9,1.3/4,16,276.2,40.2,大井栗田裕光,497(+6)
15,8,16,カクシン,牡7,56.0,達城龍次,1:16.1,3/4,12,171.9,39.2,大井堀千亜樹,529(+1)
16,8,15,シトラスダル,牝5,54.0,町田直希,1:16.6,2.1/2,8,35.4,39.7,大井佐野謙二,420(-2)
